time_arr_ON_shw_dambreak, error_arr_ON_shw_dambreak, error_arr_OFF_shw_dambreak, error_arr_OFF_shw_dambreak_fine, error_arr_OFF_shw_dambreak_coarse
0.0000,0.0015,0.0049,0.0015,0.0061
0.0982,0.0038,0.0138,0.0038,0.0161
0.1963,0.0038,0.0138,0.0038,0.0161
0.2945,0.0038,0.0138,0.0038,0.0161
0.3927,0.0038,0.0138,0.0038,0.0161
0.4909,0.0038,0.0138,0.0038,0.0161
0.5890,0.0038,0.0138,0.0038,0.0161
0.6872,0.0038,0.0138,0.0038,0.0161
0.7854,0.0038,0.0138,0.0038,0.0161
0.8836,0.0038,0.0138,0.0038,0.0161
0.9817,0.0038,0.0138,0.0038,0.0161
1.0799,0.0038,0.0138,0.0038,0.0161
1.1781,0.0038,0.0138,0.0038,0.0161
1.2763,0.0038,0.0138,0.0038,0.0161
1.3744,0.0038,0.0138,0.0038,0.0161
1.4726,0.0038,0.0138,0.0038,0.0161
1.5708,0.0038,0.0138,0.0038,0.0161
1.6690,0.0038,0.0138,0.0038,0.0161
1.7671,0.0038,0.0138,0.0038,0.0161
1.8653,0.0038,0.0138,0.0038,0.0161
1.9635,0.0038,0.0138,0.0038,0.0161
2.0617,0.0038,0.0138,0.0038,0.0161
2.1598,0.0038,0.0138,0.0038,0.0161
2.2580,0.0038,0.0138,0.0038,0.0161
2.3562,0.0038,0.0138,0.0038,0.0161
2.4544,0.0038,0.0138,0.0038,0.0161
2.5525,0.0038,0.0138,0.0038,0.0161
2.6507,0.0038,0.0138,0.0038,0.0161
2.7489,0.0038,0.0138,0.0038,0.0161
2.8471,0.0038,0.0138,0.0038,0.0161
2.9452,0.0038,0.0138,0.0038,0.0161
3.0434,0.0038,0.0138,0.0038,0.0161
3.1416,0.0038,0.0138,0.0038,0.0161
3.2398,0.0038,0.0138,0.0038,0.0161
3.3379,0.0038,0.0138,0.0038,0.0161
3.4361,0.0038,0.0138,0.0038,0.0161
3.5343,0.0038,0.0138,0.0038,0.0161
3.6325,0.0038,0.0138,0.0038,0.0161
3.7306,0.0038,0.0138,0.0038,0.0161
3.8288,0.0038,0.0138,0.0038,0.0161
3.9270,0.0038,0.0138,0.0038,0.0161
4.0252,0.0038,0.0138,0.0038,0.0161
4.1233,0.0038,0.0138,0.0038,0.0161
4.2215,0.0038,0.0138,0.0038,0.0161
4.3197,0.0038,0.0138,0.0038,0.0161
4.4179,0.0038,0.0138,0.0038,0.0161
4.5160,0.0038,0.0138,0.0038,0.0161
4.6142,0.0038,0.0138,0.0038,0.0161
4.7124,0.0038,0.0138,0.0038,0.0161
4.8106,0.0038,0.0138,0.0038,0.0161
4.9087,0.0038,0.0138,0.0038,0.0161
5.0069,0.0038,0.0138,0.0038,0.0161
5.1051,0.0038,0.0138,0.0038,0.0161
5.2033,0.0038,0.0138,0.0038,0.0161
5.3014,0.0038,0.0138,0.0038,0.0161
5.3996,0.0038,0.0138,0.0038,0.0161
5.4978,0.0038,0.0138,0.0038,0.0161
5.5960,0.0038,0.0138,0.0038,0.0161
5.6941,0.0038,0.0138,0.0038,0.0161
5.7923,0.0038,0.0138,0.0038,0.0161
5.8905,0.0038,0.0138,0.0038,0.0161
5.9887,0.0038,0.0138,0.0038,0.0161
6.0868,0.0038,0.0138,0.0038,0.0161
6.1850,0.0038,0.0138,0.0038,0.0161
6.2832,0.0038,0.0138,0.0038,0.0161
6.3814,0.0038,0.0138,0.0038,0.0161
6.4795,0.0038,0.0138,0.0038,0.0161
6.5777,0.0038,0.0138,0.0038,0.0161
6.6759,0.0038,0.0138,0.0038,0.0161
6.7741,0.0038,0.0138,0.0038,0.0161
6.8722,0.0038,0.0138,0.0038,0.0161
6.9704,0.0038,0.0138,0.0038,0.0161
7.0686,0.0038,0.0138,0.0038,0.0161
7.1668,0.0038,0.0138,0.0038,0.0161
7.2649,0.0038,0.0138,0.0038,0.0161
7.3631,0.0038,0.0138,0.0038,0.0161
7.4613,0.0038,0.0138,0.0038,0.0161
7.5595,0.0038,0.0138,0.0038,0.0161
7.6576,0.0038,0.0138,0.0038,0.0161
7.7558,0.0038,0.0138,0.0038,0.0161
7.8540,0.0038,0.0138,0.0038,0.0161
7.9522,0.0038,0.0138,0.0038,0.0161
8.0503,0.0038,0.0138,0.0038,0.0161
8.1485,0.0038,0.0138,0.0038,0.0161
8.2467,0.0038,0.0138,0.0038,0.0161
8.3449,0.0038,0.0138,0.0038,0.0161
8.4430,0.0038,0.0138,0.0038,0.0161
8.5412,0.0038,0.0138,0.0038,0.0161
8.6394,0.0038,0.0138,0.0038,0.0161
8.7376,0.0038,0.0138,0.0038,0.0161
8.8357,0.0038,0.0138,0.0038,0.0161
8.9339,0.0038,0.0138,0.0038,0.0161
9.0321,0.0038,0.0138,0.0038,0.0161
9.1303,0.0038,0.0138,0.0038,0.0161
9.2284,0.0038,0.0138,0.0038,0.0161
9.3266,0.0038,0.0138,0.0038,0.0161
9.4248,0.0038,0.0138,0.0038,0.0161
9.5230,0.0038,0.0138,0.0038,0.0161
9.6211,0.0038,0.0138,0.0038,0.0161
9.7193,0.0038,0.0138,0.0038,0.0161
9.8175,0.0038,0.0138,0.0038,0.0161
